ticker,date,close,adjusted_close,volume
AAPL,2024-01-02,75.0,75.0,1000000
AAPL,2024-01-03,75.22,75.22,1003500
AAPL,2024-01-04,75.44,75.44,1007000
AAPL,2024-01-05,75.66,75.66,1010500
AAPL,2024-01-08,75.88,75.88,1014000
AAPL,2024-01-09,76.1,76.1,1017500
AAPL,2024-01-10,76.32,76.32,1021000
AAPL,2024-01-11,76.54,76.54,1024500
AAPL,2024-01-12,76.76,76.76,1028000
AAPL,2024-01-15,76.98,76.98,1031500
AAPL,2024-01-16,77.2,77.2,1035000
AAPL,2024-01-17,77.42,77.42,1038500
AAPL,2024-01-18,77.64,77.64,1042000
AAPL,2024-01-19,77.86,77.86,1045500
AAPL,2024-01-22,78.08,78.08,1049000
AAPL,2024-01-23,78.3,78.3,1052500
AAPL,2024-01-24,78.52,78.52,1056000
AAPL,2024-01-25,78.74,78.74,1059500
AAPL,2024-01-26,78.96,78.96,1063000
AAPL,2024-01-29,79.18,79.18,1066500
AAPL,2024-01-30,79.4,79.4,1070000
AAPL,2024-01-31,78.78,78.78,1073500
AAPL,2024-02-01,79.0,79.0,1077000
AAPL,2024-02-02,79.22,79.22,1080500
AAPL,2024-02-05,79.44,79.44,1084000
AAPL,2024-02-06,79.66,79.66,1087500
AAPL,2024-02-07,79.88,79.88,1091000
AAPL,2024-02-08,80.1,80.1,1094500
AAPL,2024-02-09,80.32,80.32,1098000
AAPL,2024-02-12,80.54,80.54,1101500
AAPL,2024-02-13,80.76,80.76,1105000
AAPL,2024-02-14,80.98,80.98,1108500
AAPL,2024-02-15,81.2,81.2,1112000
AAPL,2024-02-16,81.42,81.42,1115500
AAPL,2024-02-19,81.64,81.64,1119000
AAPL,2024-02-20,81.86,81.86,1122500
AAPL,2024-02-21,82.08,82.08,1126000
AAPL,2024-02-22,82.3,82.3,1129500
AAPL,2024-02-23,82.52,82.52,1133000
AAPL,2024-02-26,82.74,82.74,1136500
AAPL,2024-02-27,82.96,82.96,1140000
AAPL,2024-02-28,83.18,83.18,1143500
AAPL,2024-02-29,82.56,82.56,1147000
AAPL,2024-03-01,82.78,82.78,1150500
AAPL,2024-03-04,83.0,83.0,1154000
AAPL,2024-03-05,83.22,83.22,1157500
AAPL,2024-03-06,83.44,83.44,1161000
AAPL,2024-03-07,83.66,83.66,1164500
AAPL,2024-03-08,83.88,83.88,1168000
AAPL,2024-03-11,84.1,84.1,1171500
AAPL,2024-03-12,84.32,84.32,1175000
AAPL,2024-03-13,84.54,84.54,1178500
AAPL,2024-03-14,84.76,84.76,1182000
AAPL,2024-03-15,84.98,84.98,1185500
AAPL,2024-03-18,85.2,85.2,1189000
AAPL,2024-03-19,85.42,85.42,1192500
AAPL,2024-03-20,85.64,85.64,1196000
AAPL,2024-03-21,85.86,85.86,1199500
AAPL,2024-03-22,86.08,86.08,1203000
AAPL,2024-03-25,86.3,86.3,1206500
AAPL,2024-03-26,86.52,86.52,1210000
AAPL,2024-03-27,86.74,86.74,1213500
AAPL,2024-03-28,86.96,86.96,1217000
AAPL,2024-03-29,86.34,86.34,1220500
AAPL,2024-04-01,86.56,86.56,1224000
AAPL,2024-04-02,86.78,86.78,1227500
AAPL,2024-04-03,87.0,87.0,1231000
AAPL,2024-04-04,87.22,87.22,1234500
AAPL,2024-04-05,87.44,87.44,1238000
AAPL,2024-04-08,87.66,87.66,1241500
AAPL,2024-04-09,87.88,87.88,1245000
AAPL,2024-04-10,88.1,88.1,1248500
AAPL,2024-04-11,88.32,88.32,1252000
AAPL,2024-04-12,88.54,88.54,1255500
AAPL,2024-04-15,88.76,88.76,1259000
AAPL,2024-04-16,88.98,88.98,1262500
AAPL,2024-04-17,89.2,89.2,1266000
AAPL,2024-04-18,89.42,89.42,1269500
AAPL,2024-04-19,89.64,89.64,1273000
AAPL,2024-04-22,89.86,89.86,1276500
AAPL,2024-04-23,90.08,90.08,1280000
AAPL,2024-04-24,90.3,90.3,1283500
AAPL,2024-04-25,90.52,90.52,1287000
AAPL,2024-04-26,90.74,90.74,1290500
AAPL,2024-04-29,90.12,90.12,1294000
AAPL,2024-04-30,90.34,90.34,1297500
AAPL,2024-05-01,90.56,90.56,1301000
AAPL,2024-05-02,90.78,90.78,1304500
AAPL,2024-05-03,91.0,91.0,1308000
AAPL,2024-05-06,91.22,91.22,1311500
AAPL,2024-05-07,91.44,91.44,1315000
AAPL,2024-05-08,91.66,91.66,1318500
AAPL,2024-05-09,91.88,91.88,1322000
AAPL,2024-05-10,92.1,92.1,1325500
AAPL,2024-05-13,92.32,92.32,1329000
AAPL,2024-05-14,92.54,92.54,1332500
AAPL,2024-05-15,92.76,92.76,1336000
AAPL,2024-05-16,92.98,92.98,1339500
AAPL,2024-05-17,93.2,93.2,1343000
AAPL,2024-05-20,93.42,93.42,1346500
AAPL,2024-05-21,93.64,93.64,1350000
AAPL,2024-05-22,93.86,93.86,1353500
AAPL,2024-05-23,94.08,94.08,1357000
AAPL,2024-05-24,94.3,94.3,1360500
AAPL,2024-05-27,94.52,94.52,1364000
AAPL,2024-05-28,93.9,93.9,1367500
AAPL,2024-05-29,94.12,94.12,1371000
AAPL,2024-05-30,94.34,94.34,1374500
AAPL,2024-05-31,94.56,94.56,1378000
AAPL,2024-06-03,94.78,94.78,1381500
AAPL,2024-06-04,95.0,95.0,1385000
AAPL,2024-06-05,95.22,95.22,1388500
AAPL,2024-06-06,95.44,95.44,1392000
AAPL,2024-06-07,95.66,95.66,1395500
AAPL,2024-06-10,95.88,95.88,1399000
AAPL,2024-06-11,96.1,96.1,1402500
AAPL,2024-06-12,96.32,96.32,1406000
AAPL,2024-06-13,96.54,96.54,1409500
AAPL,2024-06-14,96.76,96.76,1413000
AAPL,2024-06-17,96.98,96.98,1416500
AAPL,2024-06-18,97.2,97.2,1420000
AAPL,2024-06-19,97.42,97.42,1423500
AAPL,2024-06-20,97.64,97.64,1427000
AAPL,2024-06-21,97.86,97.86,1430500
AAPL,2024-06-24,98.08,98.08,1434000
AAPL,2024-06-25,98.3,98.3,1437500
AAPL,2024-06-26,97.68,97.68,1441000
AAPL,2024-06-27,97.9,97.9,1444500
AAPL,2024-06-28,98.12,98.12,1448000
MSFT,2024-01-02,81.0,81.0486,1025000
MSFT,2024-01-03,81.241,81.2897,1028500
MSFT,2024-01-04,81.482,81.5309,1032000
MSFT,2024-01-05,81.723,81.772,1035500
MSFT,2024-01-08,81.964,82.0132,1039000
MSFT,2024-01-09,82.205,82.2543,1042500
MSFT,2024-01-10,82.446,82.4955,1046000
MSFT,2024-01-11,82.687,82.7366,1049500
MSFT,2024-01-12,82.928,82.9778,1053000
MSFT,2024-01-15,83.169,83.2189,1056500
MSFT,2024-01-16,83.41,83.46,1060000
MSFT,2024-01-17,83.651,83.7012,1063500
MSFT,2024-01-18,83.892,83.9423,1067000
MSFT,2024-01-19,84.133,84.1835,1070500
MSFT,2024-01-22,84.374,84.4246,1074000
MSFT,2024-01-23,84.615,84.6658,1077500
MSFT,2024-01-24,84.856,84.9069,1081000
MSFT,2024-01-25,85.097,85.1481,1084500
MSFT,2024-01-26,85.338,85.3892,1088000
MSFT,2024-01-29,85.579,85.6303,1091500
MSFT,2024-01-30,85.82,85.8715,1095000
MSFT,2024-01-31,85.095,85.1461,1098500
MSFT,2024-02-01,85.336,85.3872,1102000
MSFT,2024-02-02,85.577,85.6283,1105500
MSFT,2024-02-05,85.818,85.8695,1109000
MSFT,2024-02-06,86.059,86.1106,1112500
MSFT,2024-02-07,86.3,86.3518,1116000
MSFT,2024-02-08,86.541,86.5929,1119500
MSFT,2024-02-09,86.782,86.8341,1123000
MSFT,2024-02-12,87.023,87.0752,1126500
MSFT,2024-02-13,87.264,87.3164,1130000
MSFT,2024-02-14,87.505,87.5575,1133500
MSFT,2024-02-15,87.746,87.7986,1137000
MSFT,2024-02-16,87.987,88.0398,1140500
MSFT,2024-02-19,88.228,88.2809,1144000
MSFT,2024-02-20,88.469,88.5221,1147500
MSFT,2024-02-21,88.71,88.7632,1151000
MSFT,2024-02-22,88.951,89.0044,1154500
MSFT,2024-02-23,89.192,89.2455,1158000
MSFT,2024-02-26,89.433,89.4867,1161500
MSFT,2024-02-27,89.674,89.7278,1165000
MSFT,2024-02-28,89.915,89.9689,1168500
MSFT,2024-02-29,89.19,89.2435,1172000
MSFT,2024-03-01,89.431,89.4847,1175500
MSFT,2024-03-04,89.672,89.7258,1179000
MSFT,2024-03-05,89.913,89.9669,1182500
MSFT,2024-03-06,90.154,90.2081,1186000
MSFT,2024-03-07,90.395,90.4492,1189500
MSFT,2024-03-08,90.636,90.6904,1193000
MSFT,2024-03-11,90.877,90.9315,1196500
MSFT,2024-03-12,91.118,91.1727,1200000
MSFT,2024-03-13,91.359,91.4138,1203500
MSFT,2024-03-14,91.6,91.655,1207000
MSFT,2024-03-15,91.841,91.8961,1210500
MSFT,2024-03-18,92.082,92.1372,1214000
MSFT,2024-03-19,92.323,92.3784,1217500
MSFT,2024-03-20,92.564,92.6195,1221000
MSFT,2024-03-21,92.805,92.8607,1224500
MSFT,2024-03-22,93.046,93.1018,1228000
MSFT,2024-03-25,93.287,93.343,1231500
MSFT,2024-03-26,93.528,93.5841,1235000
MSFT,2024-03-27,93.769,93.8253,1238500
MSFT,2024-03-28,94.01,94.0664,1242000
MSFT,2024-03-29,93.285,93.341,1245500
MSFT,2024-04-01,93.526,93.5821,1249000
MSFT,2024-04-02,93.767,93.8233,1252500
MSFT,2024-04-03,94.008,94.0644,1256000
MSFT,2024-04-04,94.249,94.3055,1259500
MSFT,2024-04-05,94.49,94.5467,1263000
MSFT,2024-04-08,94.731,94.7878,1266500
MSFT,2024-04-09,94.972,95.029,1270000
MSFT,2024-04-10,95.213,95.2701,1273500
MSFT,2024-04-11,95.454,95.5113,1277000
MSFT,2024-04-12,95.695,95.7524,1280500
MSFT,2024-04-15,95.936,95.9936,1284000
MSFT,2024-04-16,96.177,96.2347,1287500
MSFT,2024-04-17,96.418,96.4759,1291000
MSFT,2024-04-18,96.659,96.717,1294500
MSFT,2024-04-19,96.9,96.9581,1298000
MSFT,2024-04-22,97.141,97.1993,1301500
MSFT,2024-04-23,97.382,97.4404,1305000
MSFT,2024-04-24,97.623,97.6816,1308500
MSFT,2024-04-25,97.864,97.9227,1312000
MSFT,2024-04-26,98.105,98.1639,1315500
MSFT,2024-04-29,97.38,97.4384,1319000
MSFT,2024-04-30,97.621,97.6796,1322500
MSFT,2024-05-01,97.862,97.9207,1326000
MSFT,2024-05-02,98.103,98.1619,1329500
MSFT,2024-05-03,98.344,98.403,1333000
MSFT,2024-05-06,98.585,98.6442,1336500
MSFT,2024-05-07,98.826,98.8853,1340000
